Ashley Westwood,31,Sun Apr 01 02:00:00 CEST 1990,Premier League,2018/2019,Midfielder,0,England,2,0,2,0,0
Ashley Young,36,Tue Jul 09 02:00:00 CEST 1985,Premier League,2018/2019,Midfielder,0,England,2,1,1,0,0
Asmir Begović,34,Sat Jun 20 02:00:00 CEST 1987,Premier League,2018/2019,Goalkeeper,0,Bosnia and Herzegovina,0,0,0,0,0
Aymeric Laporte,27,Fri May 27 02:00:00 CEST 1994,Premier League,2018/2019,Defender,0,France,3,0,3,0,0
Ayoze Perez,28,Thu Jul 29 02:00:00 CEST 1993,Premier League,2018/2019,Forward,0,Spain,12,9,3,0,0
Bakary Sako,33,Tue Apr 26 02:00:00 CEST 1988,Premier League,2018/2019,Midfielder,0,Mali,0,0,0,0,0
Bakayo Sako,0,Thu Jan 01 01:00:00 CET 1970,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Ben Chilwell,25,Sat Dec 21 01:00:00 CET 1996,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Ben Davies,28,Sat Apr 24 02:00:00 CEST 1993,Premier League,2018/2019,Defender,0,Wales,0,0,0,0,0
Ben Foster,38,Sun Apr 03 02:00:00 CEST 1983,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
Ben Gibson,28,Fri Jan 15 01:00:00 CET 1993,Premier League,2018/2019,Defender,0,England,1,1,0,0,0
Ben Hamer,34,Fri Nov 20 01:00:00 CET 1987,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
Ben Mee,32,Thu Sep 21 02:00:00 CEST 1989,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Ben White,24,Wed Oct 08 02:00:00 CEST 1997,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Ben Wilmot,22,Thu Nov 04 01:00:00 CET 1999,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Benjamin Johnson,21,Mon Jan 24 01:00:00 CET 2000,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Benjamin Mendy,27,Sun Jul 17 02:00:00 CEST 1994,Premier League,2018/2019,Defender,0,France,0,0,0,0,0
Beram Kayal,33,Mon May 02 02:00:00 CEST 1988,Premier League,2018/2019,Midfielder,0,Israel,1,0,1,0,0
Bernard Anício Caldeira Duarte,29,Tue Sep 08 02:00:00 CEST 1992,Premier League,2018/2019,Midfielder,0,Brazil,1,0,1,0,0
Bernardo,26,Sun May 14 02:00:00 CEST 1995,Premier League,2018/2019,Defender,0,Brazil,0,0,0,0,0
Bernardo Silva,27,Wed Aug 10 02:00:00 CEST 1994,Premier League,2018/2019,Midfielder,0,Portugal,7,2,5,0,0
Bernd Leno,29,Wed Mar 04 01:00:00 CET 1992,Premier League,2018/2019,Goalkeeper,0,Germany,0,0,0,0,0
Bobby Reid,28,Tue Feb 02 01:00:00 CET 1993,Premier League,2018/2019,Midfielder,0,England,5,4,1,1,0
Brian Murphy,38,Sat May 07 02:00:00 CEST 1983,Premier League,2018/2019,Goalkeeper,0,Republic of Ireland,0,0,0,0,0
